// METGen - The Synthesized METAR Generator
// Copyright (C) 2025 FiendishDrWu
//
// This program is free software: you can redistribute it and/or modify
// it under the terms of the GNU Affero General Public License as published
// by the Free Software Foundation, either version 3 of the License, or
// (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU Affero General Public License for more details.
//
// You should have received a copy of the GNU Affero General Public License
// along with this program.  If not, see <https://www.gnu.org/licenses/>.
//
ICAO,Latitude,Longitude
1TX0,31.026953,-98.353053
1TX4,29.273342,-95.886903
1VA1,36.736133,-80.445408
1VT8,43.666111,-73.166111
1XA4,29.873714,-96.004700
1XA5,30.135017,-97.142917
1XA7,29.733392,-96.059181
1XS0,27.990675,-97.894236
1XS1,29.938281,-95.046483
1XS4,30.633744,-99.194606
1XS8,29.634136,-100.375825
20GA,33.756556,-84.885064
20IA,41.522267,-93.801033
20KS,39.700917,-97.721258
20OH,41.393744,-80.813375
20TT,30.753881,-97.961656
21FA,28.299086,-80.720781
21MO,37.587675,-91.783336
21MS,34.912017,-90.213564
21MU,36.564925,-93.509633
21ND,48.582281,-100.854847
21TT,30.965839,-96.167703
21TX,33.577078,-95.656039
21UT,40.440869,-112.367228
22FA,27.303103,-82.272592
22MN,47.649583,-94.027731
22MT,48.128092,-114.169808
22XA,31.854306,-97.936250
23JY,38.995817,-100.223439
23MI,45.244614,-85.238953
23MO,39.470489,-93.089933
23MS,30.677392,-88.551247
23MU,38.018583,-93.693222
23NK,43.112500,-77.312500
24AZ,34.158097,-110.935403
24CL,36.088672,-119.541628
24IA,42.515806,-92.519811
24ID,44.453611,-113.661944
24LA,30.318111,-90.955650
24MO,38.132700,-92.830461
24PS,41.347419,-75.415922
24SC,33.93579864501953,-81.42970275878906
24TN,35.497544,-86.078611
25IA,43.395097,-92.963711
25NV,39.201578,-119.683442
25TS,36.091700,-102.415744
25TX,30.314358,-95.327122
25XA,30.092986,-98.701236
26CL,33.205278,-116.513194
26IA,42.373772,-95.765186
26IL,38.741083,-89.567892
26IN,41.113000,-84.903558
26MO,39.457767,-94.247589
26NV,39.452656,-118.866294
27AK,61.945400,-151.036967
27AZ,33.919350,-113.167817
27FA,27.806200,-82.141364
27IA,40.751453,-92.030822
27ID,42.582956,-114.550100
27KS,39.130186,-101.713947
27MD,39.098375,-75.895217
27ME,44.133339,-69.889617
27MS,32.758261,-89.408708
27TX,30.119444,-96.712222
27WI,42.750947,-88.250375
27XS,29.838125,-95.949972
28AL,32.433222,-86.374592
28AR,35.833333,-91.433333
28DE,39.012875,-75.533969
28ID,45.513483,-115.440289
28TT,31.995850,-97.002150
29AK,64.046714,-145.435847
29IA,40.756267,-95.623481
29ID,43.887083,-116.654722
29IL,41.129933,-89.107181
29KS,37.761289,-97.177342
29KY,38.883619,-84.257711
29OR,44.012486,-120.280458
2AK4,59.470000,-151.512500
2AK7,61.538919,-149.972811
2AR1,35.369847,-93.843061
2AR4,35.228417,-91.093167
2AR5,36.383056,-94.293889
2CA4,33.258925,-117.092253
2CL1,39.455222,-121.291639
2CN4,35.666389,-119.896389
2FA1,29.251264,-81.200533
2FA3,30.812739,-86.637361
2FD6,28.889731,-80.867267
2FD7,28.43560028076172,-81.47309875488281
2GA0,33.526786,-83.638794
2GA2,32.392614,-81.277803
2GA7,32.498194,-81.622444
2IA7,41.568472,-93.980972
2IL3,41.515867,-90.379572
2IL7,38.515178,-90.027208
2IL9,41.433342,-87.781353
2KS3,37.440350,-100.307289
2KS4,38.849622,-98.668278
2KS6,39.750381,-96.026783
2KS8,39.113722,-98.403394
2LA7,32.965856,-91.425864
2LL3,40.066483,-89.272144
2MI0,43.072603,-86.029628
2MI3,43.143219,-84.606419
2MI5,42.941697,-85.486411
2MN4,43.598450,-94.252900
2MO8,37.872606,-93.990992
2MS3,33.612917,-88.368611
2MT1,48.483056,-113.959444
2MU9,38.965211,-91.118139
2NC0,35.868725,-82.341794
2ND8,46.671372,-98.658069
2NE0,40.696672,-99.834286
2NE8,40.628703,-96.562944
2NK5,43.223969,-75.752622
2NR2,34.457778,-78.618333
2OH5,39.773367,-84.169758
2OH6,40.011797,-84.281511
2OH7,39.521494,-84.628186
2OK1,34.192303,-96.518658
2OK2,35.329353,-97.269736
2SC8,33.786819,-81.094817
2SD3,45.336131,-99.528683
2SD8,43.508328,-96.862328
2TA0,30.845167,-98.272914
2TA8,26.858278,-98.221750
2TA9,29.811203,-100.687144
2TE2,32.829267,-97.534944
2TX0,35.064500,-101.849356
2UT2,37.528428,-112.660886
2VA3,37.316828,-77.866550
2VI2,60.419039,-152.354892
2WA1,48.092592,-122.928506
2WA2,46.879861,-119.588889
2WI7,42.970058,-89.665547
2WN2,45.584444,-91.925833
2WY8,44.406250,-109.279444
2XS1,30.218878,-98.302742
2XS2,28.263414,-100.162739
2XS5,30.010489,-98.425297
2XS8,29.229400634765625,-99.82389831542967
30AZ,32.565822,-110.427319
30GA,33.282886,-83.901367
30GE,34.194019,-83.194628
30ID,43.464725,-114.380553
30IN,40.378214,-86.594061
30IS,42.077247,-88.625089
30KS,38.024839,-97.733922
30MT,46.570928,-112.237942
30NE,40.355750,-98.685817
30PA,40.144306,-79.375139
31CD,37.869750,-104.789806
31GE,32.819239,-83.407808
31ID,48.391667,-116.366250
31II,38.912086,-84.905197
31KS,37.993772,-97.926533
31MN,44.135556,-92.696111
31TN,35.222925,-87.336958
31VA,37.020767,-76.588617
31WI,44.571008,-89.220253
32ID,43.366217,-114.991089
32IN,38.918164,-84.974236
32MT,45.460325,-112.435125
32NC,34.896389,-79.043056
32NR,35.618675,-80.713053
32TT,32.161806,-99.779722
32WA,47.763314,-120.151817
33IA,41.556389,-90.980425
33MI,43.878636,-85.519847
33TE,33.815100,-96.734769
33VT,44.118333,-72.565833
33WY,43.045928,-110.991236
33XA,32.856956,-96.308292
34CD,40.262683,-105.448011
34IN,41.031900,-85.031703
34SC,33.771833,-79.966250
34TS,29.915772,-98.247514
34XS,30.390819,-95.539750
35AR,35.311806,-91.875636
35AZ,31.886381,-109.482764
35ID,44.923833,-113.966317
35ME,43.871433,-68.893556
35TE,30.252100,-98.824486
35TT,32.473539,-97.501661
35TX,32.484547,-99.826000
35XA,30.834058,-94.941683
36CA,36.131897,-119.985692
36KS,37.475369,-95.343644
36MS,33.439892,-90.834531
36NC,35.629167,-81.343750
37AR,36.052361,-93.367325
37MO,39.566128,-94.184692
37MS,32.390144,-90.350839
37TX,31.321553,-98.865603
37XA,29.992833,-95.930483
38AL,32.168333,-85.403750
38TT,33.167819,-95.980372
38VT,44.402083,-73.157917
38WV,39.325278,-78.425556
38XS,26.815214,-98.479306
39AR,34.911597,-91.837083
39KS,37.298144,-95.262931
39MD,38.274989,-76.724047
39MS,32.406831,-90.382678
39SC,35.158194,-81.226208
3AR7,36.264739,-94.165417
3CN7,38.379167,-121.221667
3FA7,29.042664,-81.056950
3FL0,29.436081,-81.656744
3GA3,34.871111,-85.437500
3GA7,32.450833,-84.249181
3ID3,46.778153,-117.025436
3KS1,39.830583,-96.164858
3KS2,37.060469,-96.998711
3KS3,37.403156,-97.194278
3KS5,37.842644,-97.351381
3KS7,37.828914,-97.349347
3KS8,37.256147,-95.334047
3KS9,37.727114,-101.195408
3KY9,38.121983,-85.126372
3LA4,29.799681,-92.803536
3LA8,30.136978,-93.142522
3MI2,45.399161,-85.830081
3MN1,45.562908,-93.547983
3MO5,37.128344,-94.216508
3MS1,34.806944,-89.461667
3MS9,32.580992,-89.136600
3MT4,48.513500,-109.064667
3MT6,45.634272,-111.114331
3MT9,46.471564,-113.492461
3ND6,47.242069,-99.897625
3NE5,40.947553,-96.202597
3NJ1,39.982178,-74.694972
3NJ6,40.015472,-74.841333
3NJ9,39.941019,-74.771000
3NR3,35.270278,-82.644167
3NY8,40.914800,-72.780397
3OH0,39.930892,-84.013547
3PA2,40.331228,-75.248125
3PA9,40.296772,-75.247953
3PN7,41.747861,-75.497406
3PS2,39.978194,-78.540833
3SD4,43.465144,-96.862725
3TA0,30.097022,-100.404550
3TA1,30.456653,-101.736403
3TN6,35.092558,-89.283753
3VA4,37.857008,-76.736125
3VG5,37.128783,-79.303236
3WN1,42.870139,-89.900972
3WS9,43.611450,-90.307194
3XA8,32.513731,-97.594758
40AK,60.557419,-150.843492
40AR,36.392717,-93.912619
40MI,43.175728,-84.841242
40MO,38.859186,-92.601369
40TN,36.347472,-83.267350
40XS,30.517636,-97.780819
41CO,39.971111,-107.611111
41IL,42.466547,-88.132836
41ME,44.519617,-70.146278
41MS,33.523339,-90.362092
41ND,48.140511,-101.147367
41NR,35.927119,-80.571944
41OH,40.313975,-84.181044
41TT,30.181375,-99.407469
